"County","TDSHS_DEATHS_SUICIDE","Year"
"Marion",NA,2020
"Mason",NA,2020
"Matagorda",NA,2020
"Maverick",NA,2020
"McCulloch",NA,2020
"McLennan",26,2020
"Medina",NA,2020
"Midland",17,2020
"Milam",NA,2020
"Mitchell",NA,2020
"Montague",NA,2020
"Montgomery",61,2020
"Moore",NA,2020
"Morris",NA,2020
"Nacogdoches",NA,2020
"Navarro",NA,2020
"Newton",NA,2020
"Nolan",NA,2020
"Nueces",28,2020
"Ochiltree",NA,2020
"Orange",NA,2020
"Palo Pinto",NA,2020
"Panola",NA,2020
"Parker",24,2020
"Parmer",NA,2020
"Pecos",NA,2020
"Polk",NA,2020
"Potter",17,2020
"Rains",NA,2020
"Randall",17,2020
"Red River",NA,2020
"Reeves",NA,2020
"Roberts",NA,2020
"Robertson",NA,2020
"Rockwall",NA,2020
"Rusk",12,2020
"Sabine",NA,2020
"San Jacinto",NA,2020
"San Patricio",NA,2020
"Scurry",NA,2020
"Shackelford",NA,2020
"Shelby",NA,2020
"Sherman",NA,2020
"Smith",29,2020
"Starr",NA,2020
"Stonewall",NA,2020
"Swisher",NA,2020
"Tarrant",161,2020
"Taylor",22,2020
"Titus",NA,2020
"Tom Green",12,2020
"Travis",77,2020
"Tyler",NA,2020
"Upshur",NA,2020
"Uvalde",NA,2020
"Val Verde",NA,2020
"Van Zandt",NA,2020
"Victoria",15,2020
"Walker",NA,2020
"Waller",NA,2020
"Ward",NA,2020
"Washington",NA,2020
"Webb",11,2020
"Wharton",NA,2020
"Wichita",NA,2020
"Williamson",35,2020
"Wilson",NA,2020
"Winkler",NA,2020
"Wise",11,2020
"Wood",NA,2020
"Yoakum",NA,2020
"Zapata",NA,2020
"Zavala",NA,2020
