"County","State","FIPS.Code","Population","Economic.Region","Overall.Social.Vulnerability","Socioeconomic.Social.Vulnerability","Household.Characteristics.Social.Vulnerability","Race.Ethnicity.Social.Vulnerability","Housing.Transport.Social.Vulnerability","Median.Age","Percent.Age.0.to.17","Percent.Age.Over.65","Percent.Asian","Percent.Black","Percent.Hispanic","Percent.White","Percent.Households_Limited_English","Percent.Veteran","NCHS.Rural.Urban.Code","Percent.Households.No.Computer.Device","Percent.Households.Smartphone.Only","Percent.Households.No.Internet","Percent.Commute.Less.than.15min","Percent.Commute.15min.to.29min","Percent.Commute.30min.to.59min","Percent.Commute.60min.or.More","Percent.Housing.Units.No.Vehicle","GINI.Index","Percent.Unemployed","Median.Household.Income","Median.Household.Income.Asian","Median.Household.Income.Black","Median.Household.Income.Hispanic","Median.Household.Income.White","Percent.in.Poverty","Percent.in.Poverty.Asian","Percent.in.Poverty.Black","Percent.in.Poverty.Hispanic","Percent.in.Poverty.White","Percent.Households.Food.Stamps","Median.Home.Value","Median.Rent","Percent.Less.than.Highschool","Percent.Highschool.Graduate","Percent.with.Associate.Degree","Percent.with.Bachelor.Degree","Percent.with.Graduate.Degree","Percent.Medicaid","Percent.Medicare.Only","Percent.Health.Insurance.Other","Percent.No.Health.Insurance","Obesity.Rate","Diabetes.Rate","Binge.Drinking.Rate","Smoking.Rate","Depression.Rate","Anxiety.Disorders.Rate.Medicare","Bipolar.Disorder.Rate.Medicare","Depressive.Disorders.Rate.Medicare","Personality.Disorders.Rate.Medicare","Opioid.Overuse.Disorder.Rate.Medicare","Birth.Defects.per.10k","Deaths.from.Injury.per.100k","Deaths.from.Transport.Accident.per.100k","Deaths.from.Suicide.per.100k","Deaths.from.Assault.per.100k","Accidental.Deaths.by.Benzodiazepines.per.100k","Accidental.Deaths.by.Cannabis.per.100k","Accidental.Deaths.by.Cocaine.per.100k","Accidental.Deaths.by.Heroin.per.100k","Accidental.Deaths.by.Methadone.per.100k","Accidental.Deaths.by.Opioids.per.100k","Accidental.Deaths.by.Other.Narcotics.per.100k","Accidental.Deaths.by.Other.Opioids.per.100k","Accidental.Deaths.by.Psychostimulants.per.100k","Accidental.Deaths.by.Pyschotropics.per.100k","Accidental.Deaths.by.Synthetics.per.100k","Maternal.Deaths.per.100k","Opioid.Overdose.Deaths.per.100k","Drug.Poisoning.Deaths.per.100k","Opioid.Dispensing.Rate.per.100","HPSA.Primary.Care.Score","HPSA.Primary.Care.FTE.Short","HPSA.Mental.FTE.Short","HPSA.Mental.Score","PCPs.per.100k","Nurse.Practitioners.per.100k","Physician.Assistants.per.100k","Dentists.per.100k","LCDCs.per.100k","LPCs.per.100k","LCSWs.per.100k","Psychiatrists.per.100k","Mental.Health.Providers.per.100k","Urgent.Care.Orgs.per.100k","Health.Centers.per.100k","Community.Mental.Health.Centers.per.100k","Rural.Health.Clinics.per.100k","Home.Health.Agencies.per.100k","Hospices.per.100k","Nursing.Facilities.per.100k","Nursing.Facility.Beds.per.100k","Skilled.Nursing.Facilities.per.100k","Skilled.Nursing.Facility.Beds.per.100k","Mental.Health.Facilities.per.1k","Mental.Health.Facilities.Accepting.Medicare.per.1k","Percent.Clinicians.Accepting.Medicaid","Percent.Nursing.Homes.For.Profit","Percent.Nursing.Homes.Chain","Percent.Hospitals.Private.For.Profit","Percent.Hospitals.Non.Profit","Percent.Hospitals.Government","Nursing.Home.Occupancy.Rate","Median.Distance.to.Urgent.Care","Median.Distance.to.Emergency.Department","Median.Distance.to.Medical.Surgical.ICU","Median.Distance.to.Trauma.Center","Median.Distance.to.Pediatric.ICU","Median.Distance.to.Obstetrics.Department","Median.Distance.to.Health.Clinic","Median.Distance.to.Alcohol.Drug.Incare"
"Real","Texas","48385","3429","South Texas","0.5336","0.4664","0.6877","0.1897","0.6206","52.8","22.57","29.72","0.06","1.17","24.12","74.6","1.59","10.66","6","15.15","15.55","31.26","59.65","23.75","13.08","3.53","5.58","0.52","0.99","38659","","","25486","40190","25.69","100","","41.52","20.53","12.84","146900","785","12.1","35.27","35.85","11.23","5.55","22.07","5.97","5.34","22.7","38.8","19","13.4","19.6","21.6","18","5","17","1","1","","99.07","","","","","","","","","","","","","","","","","","1.4","17","0.9","0.16","14","-","29","59","29.2","-","29.2","-","-","28.97","0","87","0","0","0","0","29","2246","0","0","0","0","50","","","80","20","0","","34.23","30.49","35.3","35.3","76.33","35.3","3.64","49.53"
"Red River","Texas","48387","12115","Upper East","0.3636","0.5375","0.0909","0.2292","0.5375","47.5","19.88","25.31","0.09","16.03","7.37","73.39","0.52","6.43","6","21.56","9.97","23.41","25.48","29.67","37.38","7.47","6.24","0.46","5.14","37135","","30929","19180","44646","20.24","100","33.98","53.79","13.44","13.59","77900","571","11.04","39.49","33.8","11.39","4.28","17.1","10.95","5.27","14.55","38.7","16.4","14.9","20.8","22.1","23","3","19","1","2","","89.07","41.23","24.74","","","","","","","","","0","","","","","","","82.2","17","2.52","0.6","15","16","25","0","8","-","8","-","-","33.27","0","0","0","25","8","0","25","3351","0","0","8.34","8.34","72.73","100","100","85.71","14.29","0","40","27.02","9.73","25.17","9.73","27.38","22.61","12.8","39.31"
"Reeves","Texas","48389","15546","West Texas","0.8458","0.8972","0.3913","0.913","0.8182","35.2","22.36","11.75","1.17","2.11","74.78","23.34","12.43","4.96","5","21.5","12.67","33.83","68.4","9.2","10.22","12.19","6.79","0.44","11.13","61543","","","48568","136750","16.2","77.03","1.11","16.5","12.79","11.03","91600","859","30.64","36.18","22.62","7.52","3.03","14.77","5.02","2.66","21.34","40.6","14.2","19.2","18.8","18.8","14","2","10","1","0","434.78","56.54","32.12","","","","","0","","","","0","","","","","","","14.13","31.8","","","0.68","17","37.2","25","13","6.2","-","12.4","6.2","-","6.26","0","0","0","13","6","6","6","572","0","0","6.27","6.27","100","100","100","28.57","28.57","42.86","74.16","82.85","1.79","1.79","1.79","83.84","1.79","1.3","72.67"
"Refugio","Texas","48391","7015","South Texas","0.6561","0.585","0.8221","0.7589","0.3123","43.7","23.22","21.94","0.19","5.84","50.79","41.28","2.96","8.3","6","16.56","12.39","25.84","45.72","14.62","29.95","9.71","9.16","0.44","6.33","51054","","","47716","54009","15.26","0","49.61","16.59","9.63","16.99","85500","637","17.39","40.98","30.55","7.95","3.12","19.43","9.29","4.1","14.21","39.1","16.9","15.2","17.4","20.2","19","4","16","1","3","823.53","56.49","36.72","","","0","","","0","","0","","0","0","0","","","","","9.6","13","0.99","0.35","14","39.5","29","29","26.3","-","39.5","-","-","14.39","0","0","0","43","14","0","29","1696","0","0","0","0","100","","","28.57","42.86","28.57","","37.13","3","3","3","38.38","23.49","2.75","26.38"
"Roberts","Texas","48393","784","High Plains","0.004","0.0119","0.0553","0.0514","0.1186","47.2","23.47","24.87","0","0","11.86","84.95","0","9.83","6","8.21","1.52","17.63","47.79","37.02","12.98","2.21","8.21","0.38","1.33","61964","","","61429","61607","10.75","","","55.56","5.71","0.91","134200","760","7.27","33.33","35.46","16.13","7.8","4.85","3.83","5.61","10.08","34.2","12","17.5","16.7","21.8","9","0","13","0","0","","","","","","","","","","","","","","","","","","","","","7","0.23","0.04","11","-","0","0","-","-","-","-","-","0","0","0","0","128","128","0","0","0","0","0","0","0","100","","","0","100","0","","75.17","18.86","18.86","18.86","77.69","18.86","3.66","77.45"
"Robertson","Texas","48395","17094","Central Texas","0.5375","0.419","0.5652","0.5375","0.5889","41.4","23.71","19.23","0.51","20.22","21.16","56.83","2.16","7.71","4","15.91","18.52","25.07","33.43","27.94","30.97","7.66","8.88","0.47","9.05","53823","110550","27478","65500","56071","14.64","0","35.65","6.54","10.43","18.3","121600","752","15.33","37.36","28.89","12.81","5.62","18.97","5.96","3.36","13.94","38.5","15","15.6","19.6","21.5","18","3","20","1","1","422.54","67.86","28.08","12.87","","0","","","0","","0","","0","","","0","","","12.87","5.7","13","4","","","-","35","12","5.9","5.9","17.7","5.9","-","11.71","0","6","0","23","6","0","29","1509","0","0","0","0","100","66.67","66.67","87.5","12.5","0","63.49","25.69","7.55","28.83","21.08","47.79","7.55","1.43","25.06"
"Rockwall","Texas","48397","101175","Metroplex","0.0079","0.0198","0.0277","0.3083","0.0474","37.6","26.99","12.15","2.9","6.71","18.08","69.77","1.72","8.42","2","2.4","3.46","3.69","19.54","23.51","41.04","15.91","1.76","0.41","3.73","105956","93300","93836","76962","110801","3.76","5.7","10.39","5.9","2.52","3.59","283000","1472","6.98","17.56","32.61","26.96","15.89","5.92","3.68","4.61","9.29","33.2","9.5","19.3","13.9","20.8","18","3","18","2","2","766.9","29.04","8.3","12.84","2.17","0","","","","0","","0","","","","","","6.91","10.67","42.2","","","","","94.6","73","39","84.4","17.6","145.6","39.9","2.8","128.68","1","0","0","0","1","1","4","273","0","0","0","0","97.62","100","100","66.67","33.33","0","47.4","5.13","3.8","4.16","6.11","21.65","4.16","14.53","13.4"
"Runnels","Texas","48399","10280","Northwest","0.166","0.2806","0.502","0.4506","0.0593","40.4","23.92","20.73","0.07","2.44","34.46","61.16","0.93","7.74","6","15.65","13.11","20.95","40.7","24.69","26.75","7.86","3.11","0.42","2.75","48489","","","45066","52325","12.69","0","24.52","18.93","8.56","11.05","85200","762","18.94","35.09","29.37","13.18","3.43","14.66","5.94","6.2","13.04","37.6","14.8","16.2","18.6","21.6","14","2","18","2","1","","83.31","31","","","","","","","","","","","","","","","","","35.6","","","0.5","16","62.9","58","29","-","-","26.9","-","-","38.97","0","0","0","68","19","10","49","3132","0","0","9.61","9.61","100","100","100","35.71","35.71","28.57","42.13","31.24","1.13","13.57","13.57","35.95","8.31","0.64","31.16"
"Rusk","Texas","48401","53988","Upper East","0.4783","0.4545","0.3518","0.4032","0.5929","38.2","22.26","16.72","0.54","16.36","17.09","63.24","2.8","7.12","4","12.8","14.29","25.3","28.27","32.06","31.13","8.54","3.94","0.46","7.34","56223","75865","36069","45399","66011","11.23","4.13","15.88","20.02","7.86","11.12","131200","813","17.38","32.2","34.47","10.38","5.56","15.38","5.97","5","16.74","39.6","13.3","17.8","20.3","22.4","18","4","18","1","2","527.21","65.12","33.86","18.23","5.21","0","","0","0","","","","0","","","","","","9.3","18.9","","","","","81.7","35","7","22.8","51.3","45.6","5.7","-","25.73","0","0","0","9","11","0","17","1563","4","57","1.84","1.84","99.4","100","66.67","62.96","29.63","7.41","62.62","23.76","4.68","20.89","10.15","22.65","10.15","4.45","10.32"
"Sabine","Texas","48403","10470","Southeast","0.2727","0.6719","0.3715","0.0553","0.1344","53","18.47","30.59","0.23","5.48","4.68","84.79","0.15","13.65","6","11.43","11.38","19.23","42.98","24.53","22.6","9.89","4.6","0.5","9.31","38917","","23043","31471","41964","18.83","0","24.96","31.96","17.93","13.66","99900","659","14.31","35.15","33.19","10.28","7.07","15.74","8.8","9.64","11.93","38.1","17.4","14","20.6","22.6","17","3","16","1","3","","85.87","32.44","24.81","","0","","","","","0","0","0","","0","0","","","","29","","","0.52","16","30.8","86","48","20.5","-","20.5","10.3","-","9.49","0","0","0","38","19","0","38","860","0","0","0","0","100","100","100","45.45","36.36","18.18","52.22","47.05","8.54","30.76","8.54","49.89","10.44","2.58","38.28"
"San Augustine","Texas","48405","8260","Southeast","0.7391","0.7628","0.6561","0.3162","0.8221","48.8","19.67","26.83","0.11","21.94","7.37","69.23","0.4","13.56","6","16.38","16.7","25.03","43.36","23.48","28.71","4.45","8.51","0.46","11.14","41568","","29536","","44420","26.41","0","26.78","56.26","23.62","19.29","75500","626","18","41.8","26.23","9.06","4.9","20.43","6.91","7.77","15.16","40.2","18.6","13.9","22.7","22.4","18","4","21","1","2","","99.3","50.86","","","","","","","","","","","","","0","","","","28.5","","","","","24.1","61","0","24.1","-","24.1","12","-","12.14","0","0","0","48","24","0","36","2639","0","0","12.12","12.12","76.92","100","0","70","20","10","61.11","36.17","4.11","29.96","20.3","31.92","20.87","4.12","32.38"
"San Jacinto","Texas","48407","28574","Southeast","0.3913","0.7391","0.336","0.2095","0.1739","45.1","21.68","21.77","0.15","9.4","13.51","74.34","1.22","9.39","6","10.52","16.11","16.59","18.46","20.76","31.42","29.36","2.68","0.44","7.3","44566","","41415","36075","51971","13.59","0","11.45","15.62","12.89","15.09","126700","890","14.51","42.54","27.79","10","5.17","20.36","10.07","4.7","18.65","38.9","15.3","15.9","21.2","23.4","18","4","17","1","3","405.41","61.6","23.1","19.6","7","","","","","","","0","","","","","","8.4","19.6","3.4","15","7.17","1.39","17","10.2","7","3","3.4","6.8","13.6","3.4","-","10.4","0","0","0","3","7","0","0","0","0","0","0","0","100","100","0","0","100","0","68","15.87","11.42","16.39","15.62","37.51","15.62","8.08","17.1"
"San Patricio","Texas","48409","66969","South Texas","0.7905","0.6877","0.8419","0.8024","0.668","35.6","26.88","14.85","0.87","1.65","58.15","37.85","3.12","9.63","3","12.65","10.96","23.77","32.23","33.93","28.54","5.3","6.29","0.46","5","56111","65947","40156","45584","73912","15.17","13.81","32.75","20.69","5.89","17.55","129400","1047","18.61","32.75","32.76","10.78","5.1","17.49","7.2","4.54","16.41","43","15","16.4","19.2","21.6","19","3","18","1","3","730.16","50.07","17.88","16.09","6.26","0","","","0","0","","0","","","","0","","5.07","13.71","27.6","","","1.31","11","26.1","45","21","27.5","16.5","20.6","9.6","2.7","38.96","0","1","1","18","7","0","7","705","1","12","1.49","1.49","93.62","100","100","63.16","26.32","10.53","72.63","14.81","6.84","8.7","13.91","15.21","10.35","4.35","9.63"
"San Saba","Texas","48411","6004","Central Texas","0.5455","0.7431","0.4704","0.3874","0.3083","42","19.8","23.43","0.12","1.5","30.46","63.81","4.45","7.91","6","13.03","14.76","17.1","43.68","17.87","17.78","20.67","4.4","0.48","2.2","45169","","","40556","46813","13.34","0","","19.4","11.16","6.84","119400","777","19.2","36.97","26.46","14.29","3.07","14.18","6.43","7.99","24.47","37.4","14.9","16.7","19.7","21.5","13","2","13","1","1","","56.57","","","","","","","","","0","","","0","0","0","","","","5.6","13","0.52","","","17.1","33","17","34.2","17.1","-","-","-","33.03","17","17","0","50","17","0","50","2382","0","0","0","0","100","","","71.43","28.57","0","","2.08","2.08","36.54","31.22","82.02","34.61","1.66","56.81"
"Schleicher","Texas","48413","2898","West Texas","0.5138","0.913","0.3953","0.7312","0.0435","36.6","25.71","23.43","0","1.55","53.45","43.37","5.5","3.44","6","19.5","13.9","31.37","67.92","11.09","8.71","12.28","1.74","0.43","16.37","45250","","","35365","61250","17.12","","11.11","24.85","8.43","6.95","80900","400","20.76","28.2","34.96","13.06","3.02","7.25","8.27","1.74","25.64","37.7","15.4","16.2","17.1","20.9","11","2","14","1","2","","","","","","","","","","","","","","","","","","","","22.8","15","0.85","0.15","12","-","36","0","-","-","-","-","-","35.8","0","0","0","69","0","0","35","1173","0","0","0","0","100","0","0","0","20","80","85.29","37.84","0.14","0.82","0.14","38.7","1.31","0.14","38.7"
"Scurry","Texas","48415","16918","Northwest","0.5217","0.5692","0.1621","0.6403","0.6126","36.5","24.74","15.08","0.82","3.9","41.07","51.51","2.4","7.01","5","9.8","18.15","20.49","58.35","26.59","10.36","4.7","5.31","0.42","3.49","50277","38879","43750","48879","52404","12.75","0","17.01","19.07","7.9","5.1","87600","757","19.78","33","31.1","11.51","4.61","11.62","8.25","4.17","19.66","37.8","13.5","18","19.5","21.6","14","2","15","0","2","483.09","73.27","24.82","17.73","","0","","0","","0","","","0","","0","0","","","","15.5","","","0.75","19","64.2","18","18","16","5.3","21.4","10.7","-","23.95","0","0","0","6","6","0","18","1023","0","0","6","6","100","","","50","16.67","33.33","","69.92","2.99","34.8","2.99","70.48","2.99","2.99","71.35"
"Shackelford","Texas","48417","3291","Northwest","0.3281","0.332","0.7984","0.0395","0.2332","44.7","23.37","19.69","0.43","0.21","11.7","85.14","0.29","10.47","6","16.97","11.85","17.85","36.41","28.43","27.45","7.7","5.56","0.45","8.49","48212","","","46836","49135","11.33","0","","7.14","12.07","8.71","110000","754","11.95","20.5","34.93","23.2","9.43","12.09","5.45","7.01","15.09","33.2","12.5","17","16.4","22.3","19","2","20","1","1","0","","","","","","","","","","","","","0","0","","","","","2.9","","","0.16","12","29.2","61","0","-","87.6","87.6","-","-","61.26","0","0","0","30","0","0","30","2431","0","0","0","0","100","","","33.33","33.33","33.33","","27.11","2.93","29.02","24.72","29.02","29.02","3.03","32.24"
"Shelby","Texas","48419","25263","Southeast","0.917","0.8696","0.9565","0.4427","0.8854","38.3","26.16","17.62","0.45","18.64","18.43","61.44","3.65","6.07","6","13.56","20.44","24.48","43.27","24.68","23.07","8.97","7.41","0.47","5.56","41170","","26197","34173","47623","23.32","0","35.08","45.11","13.39","17.25","81800","631","22.01","34.53","29.44","10.33","3.68","18.12","7.14","5.04","21.66","40.9","16","16.1","22.5","23.6","17","3","13","1","3","591.72","76.56","41.83","15.79","10.26","0","","","","","0","0","0","0","0","0","","","15","18.9","","","1.26","19","15.7","84","12","19.6","-","58.8","3.9","-","55.39","0","0","0","24","8","0","16","1397","0","0","0","0","70.59","0","0","63.64","27.27","9.09","54.17","44.64","6.51","29.86","25.36","30.65","6.83","1.72","29.11"
"Sherman","Texas","48421","3046","High Plains","0.2016","0.2095","0.2885","0.6206","0.17","40.3","23.08","15.59","1.15","0.49","43.57","53.28","6.92","7.04","6","10.93","13.83","16.92","54.61","15.7","22.52","7.16","1.78","0.53","2.09","57130","","","43478","76141","11.24","0","21.43","18.84","5.31","2.99","93900","793","25.55","24.62","31.34","14.71","3.78","12.65","4.24","2.35","17.29","36.4","13.3","17.6","17.5","21.2","11","1","9","1","2","","","","","","","","","","","","","","","","","","","","0.3","15","0.86","0.15","11","-","33","0","-","-","-","-","-","","0","0","0","66","0","0","33","1083","0","0","0","0","100","0","0","0","66.67","33.33","63.64","38.32","32.43","32.43","32.43","78.42","32.43","3.33","78"
"Smith","Texas","48423","230184","Upper East","0.4941","0.4941","0.4427","0.4862","0.498","36.9","24.51","16.57","1.64","17.09","19.69","59.4","3.63","6.63","4","7.11","12","13.95","27.82","42.23","24.28","5.68","3.83","0.46","5.47","59450","52877","45701","54035","65988","13.95","16.67","18.82","21.2","9.77","9.48","164200","955","12.91","23.5","36.55","18.26","8.78","14.1","5.59","5.45","16.51","38.4","12.8","16.7","17.1","22.2","18","4","19","1","2","620.08","54","18.23","20.14","5.12","","0","","","0","","0","","","","","","2.95","9.72","99.5","","","","","117.5","138","45","55.8","32.9","99.2","22.1","7.9","124.17","1","1","1","0","12","3","11","715","0","7","1.27","0.85","98.74","85.71","71.43","64.23","29.93","5.84","98.81","4.89","2.82","4.96","4.96","35.72","3.93","4.36","4.91"
"Somervell","Texas","48425","8958","Metroplex","0.1739","0.1739","0.2095","0.1028","0.3518","42.8","22.32","19.13","0.64","1.15","18.16","79.79","1.37","8.06","2","8.01","2.8","10.3","27.54","23.98","28.73","19.75","2.86","0.43","4.9","64394","","","42000","72450","16.11","0","100","37.5","10.28","8.62","205800","715","8.15","34.69","28.28","21.12","7.76","10.79","8.08","4.42","13.75","36.5","12.7","17.4","17.3","22","17","4","18","1","1","","100.22","42.31","26.72","","","","","","0","","","","0","0","","","","","45.7","","","0.43","13","84.4","88","22","42.2","10.5","10.5","21.1","-","21.91","0","0","0","0","0","0","11","670","0","0","0","0","96.88","","","0","0","100","","26.75","1.72","13.99","1.72","42.21","13.99","19.3","23.88"
"Starr","Texas","48427","64032","South Texas","0.9802","1","0.9605","1","0.6482","29","32.91","11.33","0.01","0.09","98.9","0.97","32.86","1.98","5","18.5","22.35","37.7","39.28","34.18","15.05","11.49","10.87","0.5","13.14","30931","","","30788","73333","34.18","100","5.26","34.38","14.16","38.53","76900","572","42.39","26.51","20.16","7.65","3.29","34.07","3.92","1.97","33.45","43.4","19.1","15.8","20.3","20.7","24","4","22","1","1","639.87","27.64","12.11","5.59","5.59","0","","","","","","","","0","0","","","","3.73","25.6","","","","","27.6","25","34","10.7","9.2","23","1.5","-","17.02","0","12","2","11","3","0","3","287","0","0","1.56","1.56","95.24","50","100","66.67","28.57","4.76","100","33.79","6.87","35.2","6.87","39.67","6.87","2.28","39.66"
"Stephens","Texas","48429","9358","Northwest","0.8221","0.9289","0.7549","0.2925","0.6917","39.5","22.56","19.67","0.45","2.99","24.21","70.36","0.47","5.91","6","8.71","23.33","17.46","50.86","22.88","19.18","7.08","10.62","0.49","8.6","44940","","","46220","44626","19.4","21.43","20","9.97","22.7","13.17","81300","710","20.21","32.97","31.08","12.14","3.61","19.99","6.25","3.57","20.15","37.4","14.1","17.1","20.5","22.3","21","4","21","1","1","679.61","101.32","37.99","23.22","","","","","","","","","","","","","","","","18.6","16","0.77","0.45","17","52.3","107","21","20.9","83.6","52.3","10.5","-","32.03","0","0","0","11","21","0","21","1368","0","0","0","0","96.55","100","100","50","16.67","33.33","44.57","45.83","0.25","43.09","0.25","52.64","43.09","0.3","23.21"
"Sterling","Texas","48431","1274","West Texas","0.0909","0.1383","0.1818","0.4308","0.1107","34.4","30.61","10.6","0","0","38.15","61.62","2.47","2.71","6","10.62","5.43","9.38","58.16","8.51","20.66","12.67","0.99","0.38","1","53194","","","","53889","2.42","","","4.79","0.92","9.88","75000","773","10.89","48.69","22.05","10.89","7.48","10.65","3.15","3.23","35.19","36.5","12.6","18.2","17.7","21.3","18","2","18","0","0","","","","","","","","","","","","","","","","","","","","1.1","8","0.34","","","-","76","76","-","-","-","-","-","","0","0","0","78","0","0","78","2198","0","0","0","0","100","0","0","0","0","100","70.45","39.87","2.66","40.5","38.92","41.62","29.89","0.72","39.01"
"Stonewall","Texas","48433","1412","Northwest","0.2213","0.3834","0.1779","0.2213","0.2767","40.8","27.05","20.47","0","1.77","24.15","73.65","2.65","7.3","6","13.8","5.1","14.74","67.59","15.12","14.1","3.2","3.4","0.4","3.63","58309","","2499","","71167","9.2","","59.09","21.86","3.97","14.37","53200","600","18.39","40.07","29.06","9.19","3.29","14.93","6.37","4.9","20.28","37.3","15.9","15.2","19.8","22.1","18","3","16","0","1","","","","","","","","","","","","","","","","","","","","2.4","","","0.07","11","65.6","297","148","-","-","196.7","-","-","222.22","0","0","0","71","71","0","212","8994","0","0","0","0","100","0","0","37.5","12.5","50","35","55.52","0.49","31.15","0.49","54.85","31.15","0.49","58.78"
"Sutton","Texas","48435","3793","West Texas","0.6522","0.5494","0.7905","0.8577","0.3557","37.7","27.74","16.82","0","0.05","68.18","31.53","9.98","8.76","6","22.93","19.66","39.16","62.94","16.16","13.12","7.78","3.12","0.4","6.25","61190","","","43665","75461","13.93","","100","19.77","1.34","9.59","101000","648","24.68","32.58","24.39","11.71","6.65","14.78","8.13","3.36","17.27","38.2","15.9","16.1","16.1","19.7","8","1","9","1","2","","52.89","","","","","","","","","","","","","","","","","","15","9","0.09","0.19","12","45.1","107","80","22.6","-","22.6","-","-","","0","0","0","26","0","0","26","1028","0","0","0","0","12.5","","","0","25","75","","36.06","0.44","20.69","0.44","59.92","21.49","0.42","59.92"
"Swisher","Texas","48437","7403","High Plains","0.8972","0.9565","0.8379","0.6996","0.5692","37","24.85","19.07","0.09","6.97","44.4","45.64","9.85","5.43","6","16.51","21.12","22.2","46.41","26.12","18.78","8.69","8.54","0.47","7.42","36337","","8793","30902","41219","25.26","14.29","83.12","34.95","8.48","12.31","78600","701","24.76","35.17","24.15","11.98","3.94","18.43","9.22","4.21","21.66","40","16.8","16","21.7","21.7","11","1","13","1","2","","94.14","37.65","32.28","","","","","","","","","","0","0","","","","","6.5","","","0.34","16","27.3","27","14","13.6","13.6","27.3","-","-","","0","0","0","54","14","0","14","702","0","0","0","0","100","","","50","33.33","16.67","","43.62","6.36","23.06","6.36","46.12","23.06","6.29","32.39"
"Tarrant","Texas","48439","2077153","Metroplex","0.4862","0.4229","0.4822","0.6917","0.4071","34.6","26.29","11.32","5.59","16.61","29","45.86","5.76","7.05","1","4.53","9.46","8.09","20.22","37.65","34.5","7.63","4.33","0.45","4.97","70306","77924","52474","58240","84417","11.36","10.47","16.03","15.71","6.91","10.19","209600","1142","13.5","23.93","29.96","21.65","10.96","12.8","4.79","4.32","16.38","37.8","11.4","16.2","16","19.6","17","4","19","1","2","634.06","35.41","11.22","12.84","5.88","1.63685583103411","","3.51442575486736","2.21456965375203","0.481428185598268","7.94356506237143","","1.34799891967515","4.23656803326476","4.86242467454251","4.76613903742286","0.48","5.35","11.11","45.1","","","","","82","84","39","54.7","17.8","87.8","37.7","6.7","131.75","1","0","1","0","5","2","6","287","0","7","0.94","0.89","97.13","78.26","71.74","64.42","33.07","2.51","70.51","2.59","2.05","2.5","5.13","10.76","2.87","6.89","3.21"
"Taylor","Texas","48441","137521","Northwest","0.3202","0.2372","0.3399","0.419","0.5059","32.6","24.75","14.47","2.37","7.84","24.8","62.62","2.48","10.44","4","8.65","12.74","15.64","48.8","40.24","7.16","3.8","5.37","0.45","3.02","55568","58087","41603","46571","60532","13.96","15.25","26.3","18.82","10.58","12.94","137600","921","10.5","30.55","32.12","17.19","9.64","14.89","4.24","6.93","14.19","32.9","11.2","17.3","18.8","23.1","20","4","20","1","1","434.99","61.95","16.29","21.08","5.67","","","","","","","0","0","","","","","3.78","13.52","72.7","","","3.33","14","87.3","138","49","52.5","36.2","127","29.8","6.4","179.67","3","0","0","2","10","3","12","937","1","15","0","0","96.88","90","90","71.43","27.55","1.02","72.32","2.29","2.08","2.63","2.63","3.46","2.63","13.79","3.82"
"Terrell","Texas","48443","903","West Texas","0.0198","0.0593","0.2134","0.7075","0","59.1","12.96","34.33","0","1.55","50.28","44.63","0","5.09","6","18.62","3.58","26.25","66.2","5.23","0","28.57","0","0.36","0","42823","","","43293","37390","4.76","","0","3.74","6.45","1.19","81400","","14.76","22.46","40.18","19.13","3.47","5.32","9.97","9.08","9.75","38.1","19.2","13","14.6","18.4","14","0","13","2","0","","","","","","","","","0","","0","","","","","","","","","72.3","","","0.04","10","-","0","142","-","-","-","-","-","0","0","111","0","111","0","0","0","0","0","0","0","0","100","","","50","50","0","","78.48","55.16","80.26","55.16","141.61","58.55","3.01","55.16"
"Terry","Texas","48445","12408","High Plains","0.9486","0.9605","0.8656","0.751","0.7984","34.5","27.49","15.07","0.02","2.54","55.48","41.47","11.46","4.39","6","11.53","22.34","19.34","50.95","17.87","26.03","5.16","6.29","0.44","7.8","44052","","","36227","57650","21.12","0","35","24.57","16.24","17.95","78500","698","30.28","30.27","27.89","8.43","3.13","23.38","4.62","6.37","25","40.9","16.5","16.7","21.7","21.9","15","6","16","1","2","729.17","60.97","24.07","22.46","","","","","","","0","","0","0","0","","","","","20.5","","","0.58","17","38","41","8","22.8","-","7.6","15.2","-","8.11","0","0","0","48","8","0","16","1306","0","0","8.21","8.21","100","50","50","40","40","20","75","30.95","1.16","27.92","1.16","34.45","26.06","0.96","36.11"
"Throckmorton","Texas","48447","1500","Northwest","0.1225","0.2688","0.5375","0.0395","0.0632","48.4","20.33","25.67","0","1.07","12.07","85.13","2.52","8.54","6","12.62","18.93","18.51","54.07","26.52","15.7","3.7","3.37","0.51","4.78","41875","","","","43864","22.6","","100","40.33","18.56","8.27","58600","604","13.03","37.39","27.27","14.62","7.69","11.73","10.67","3.93","14.67","35.6","15.6","14.8","18.9","21.9","14","3","13","1","2","","132.22","","","","","","","","","","","","","","","","","","18.5","","","0.07","11","66.4","67","0","-","-","-","66.4","-","66.62","0","0","0","67","67","0","67","3867","0","0","0","0","100","","","20","40","40","","56.11","3.98","26.82","3.98","57.64","26.82","3.98","53.46"
